Artists,Tracks,Danceability,Energy,Key,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Views,Likes,Comments,Duration_ms,Stream
Gorillaz,10,0.7109,0.8157,6.5,-6.030000000000001,0.07963,0.02408951,0.11729170000000003,0.26410999999999996,0.6572,132.747,204394284.6,1956852.7,55151.3,238562.8,319317437.5
Red Hot Chili Peppers,10,0.5622,0.8023,4.5,-5.546200000000001,0.05252,0.03949999999999999,0.011417308999999999,0.14486000000000002,0.5221,99.15360000000001,406156600.3,1842214.7,46304.0,275298.7,679646730.7
50 Cent,10,0.7149,0.7082999999999999,7.2,-4.2294,0.3338,0.16196000000000002,0.0008026800000000001,0.15867,0.7081000000000001,105.61570000000002,456024072.7,2751438.0,67265.1,224777.5,405956641.4
Metallica,10,0.5079,0.8002,6.0,-6.824199999999999,0.044469999999999996,0.008198506,0.054431240000000006,0.16373000000000001,0.3699,118.52459999999999,245346151.1,1184439.8,35668.3,354458.5,35164859.9
Coldplay,10,0.47269999999999995,0.5704,4.8,-7.3571,0.030770000000000002,0.20700600000000002,0.005587765,0.17793,0.2906,126.11120000000001,999727788.4,6315789.5,212437.0,261958.3,1177847823.6
Daft Punk,10,0.7721,0.6882,7.4,-9.354,0.07662,0.123916,0.404777284,0.15979000000000002,0.5960000000000001,114.12959999999998,159066708.9,1178728.7,39682.2,316330.3,342959361.5
Linkin Park,10,0.5626,0.8976999999999998,5.5,-4.5191,0.07259,0.03761,6.16e-07,0.35595,0.49540000000000006,117.79490000000001,568506989.0,3618088.4,150554.3,192419.9,636240882.0
Radiohead,10,0.41050000000000003,0.4763,6.2,-9.625699999999998,0.0388,0.23070010000000002,0.15942962,0.11995,0.2758,114.84819999999999,116163783.5,779568.6,24659.6,260446.8,289823932.4
AC/DC,10,0.5189,0.8506,5.7,-4.7232,0.10189000000000001,0.058157400000000005,0.0185001,0.20840999999999998,0.5154000000000001,132.9181,337776587.2,1780121.9,42885.8,260600.0,594140589.7
Black Eyed Peas,10,0.7744,0.7453000000000001,4.5,-5.7643,0.12345999999999999,0.083533,0.00245224,0.37585,0.5475000000000001,121.2897,490716434.5,3052450.9,103966.5,230511.0,447377181.8
Michael Jackson,10,0.8196999999999999,0.766,5.4,-6.6325,0.08545,0.12162999999999999,0.056881889000000005,0.19466,0.7503,121.28540000000001,520496199.1,3741943.2,158154.9,270952.2,460604309.3
P!nk,10,0.6099,0.7181,5.9,-5.2695,0.09184,0.046845399999999995,5.2001e-05,0.12116000000000002,0.46210000000000007,128.83829999999998,347598566.7,1687056.6,48077.8,221914.8,388172902.8
Eminem,10,0.7703999999999999,0.7826,4.8,-3.7217,0.18474000000000002,0.12795600000000001,5.39e-07,0.23926000000000003,0.5186,121.3898,911932371.0,6551353.4,291905.4,293934.7,974858773.4
Pharrell Williams,10,0.8226999999999999,0.6193000000000001,6.2,-5.805200000000001,0.12452,0.206101,1.6275000000000003e-05,0.11439000000000002,0.6975,118.67429999999999,108311208.1,826824.5,22133.1,208539.4,310873754.2
Khalid,10,0.6723999999999999,0.5937,2.8,-7.3173,0.12387,0.29101000000000005,0.034897356000000004,0.11964999999999999,0.37250000000000005,112.41569999999999,539824627.5,4688144.7,100126.5,198648.9,1138683991.5
Shakira,10,0.7686,0.6524000000000001,5.4,-6.5398,0.09141,0.26992000000000005,1.9364e-05,0.15094,0.6236,124.492,881813978.6,5596303.5,285711.6,198056.7,429504502.8
Machine Gun Kelly,10,0.6625000000000001,0.7408,3.7,-5.1206000000000005,0.07436000000000001,0.0370782,0.0008659200000000001,0.19705999999999996,0.413,118.3838,114740852.6,1103353.8,35961.6,168948.8,296845443.5
Nicky Jam,10,0.7030000000000001,0.7545,7.0,-5.9671,0.1192,0.27221,0.000106,0.11686,0.7605000000000001,135.26319999999998,632203084.4,2490104.6,65298.9,199441.2,345500790.5
